,company,job_title,job_desc,Unnamed: 12
1070,Quinnox Solutions Pte Ltd,Senior Software Engineer-API,"•	Customer Demos and detail walk-through of Developer Platform and APIs
•	Hands-on coding and integration of Customer Solution with Equinix APIs
•	Develop Coarse grained APIs as needed for Customer solution on API Platform
•	Documentation of the Integration solution for customers and internal stakeholders
•	Feed in API Customer feedback to Product Line verticals
•	Inspire a culture of ""can do"" attitude
Required Qualifications
•	BS/MS degree or equivalent with 8+ years in the field of Information Technology, Software or Computer Science Engineering
•	An obsession with customer experience, product fidelity, developer documentation, and API ecosystem.
•	Minimum 3+ years’ experience in building network specific software products is a must.
•	Knowledge of Virtual Routers, VLAN, VPC, TRACE ROUTES, BGP, PEERING is must
•	Minimum 5+ years of strong hands-on software development experience in building customer facing programmable interfaces or APIs
•	3+ years of experience working directly with customers & stakeholders providing business & technology solutions
•	3+ year of experience in administration and building APIs on API Management platforms like Apigee or MuleSoft.
•	1+ years of hands-on experience in Swagger based contract model.
•	Working experience with OAuth, REST, JSON, XML & other API Standards
•	Proven ability to quickly grasp the implications of evolving industry trends & technology intersects in the partner integration space of Data center, Cloud, APIs, Containers, Internet of Thing (IoT) and Digital Payments etc. is a plus
•	A high sense of ownership, passion, and conviction.
•	Excellent written and verbal communication, interpersonal and presentation skills and the proven ability to influence and communicate effectively.
•	Problem-solving orientation. Team player, ability to see larger picture
Interested applicants please send us your full resume in MS Word format to job@quinnox-solutions.com Also kindly share your current salary, expected salary and notice period.
EA Personnel :
(R1441433)
Quinnox Solutions Pte. Ltd. (06C3126)",
1072,Quinnox Solutions Pte Ltd,Senior Software Engineer (API),"Required Qualifications
BS/MS degree or equivalent with 8+ years in the field of Information Technology, Software or Computer Science Engineering
An obsession with customer experience, product fidelity, developer documentation, and API ecosystem.
Minimum 3+ years experience in building network specific software products is a must.
Knowledge of Virtual Routers, VLAN, VPC, TRACE ROUTES, BGP, PEERING is must
Minimum 5+ years of strong hands-on software development experience in building customer facing programmable interfaces or APIs
3+ years of experience working directly with customers & stakeholders providing business & technology solutions
3+ year of experience in administration and building APIs on API Management platforms like Apigee or MuleSoft.
1+ years of hands-on experience in Swagger based contract model.
Working experience with OAuth, REST, JSON, XML & other API Standards
Proven ability to quickly grasp the implications of evolving industry trends & technology intersects in the partner integration space of Data center, Cloud, APIs, Containers, Internet of Thing (IoT) and Digital Payments etc. is a plus
A high sense of ownership, passion, and conviction.
Excellent written and verbal communication, interpersonal and presentation skills and the proven ability to influence and communicate effectively.
Problem-solving orientation. Team player, ability to see larger picture
To Apply:
Please send your latest CV to (mailto:recruit@quinnox-solutions.com)
Kindly indicate your availability, current and expected remuneration package.
We regret only shortlisted candidates would be notified.
Quinnox Solutions Pte Ltd (License Number: 06C3126)
Registered EA Personnel (Reg. No.:R1551322 )",
1082,Volt Service Corporation Pte Ltd,Senior Java Software Engineer,"Senior Software Engineer (Java) – 2-year contract - Singapore
Be part of a major transformation project.
This transformation is to expand organization’s technology into Java. The ideal fit will have experience as a Full-Stack Developer. Experience in building Java microservices and frontend using Angular, JavaScript, JQuery, HTML and CSS.
It will be advantageous if you have knowledge or experience in test-driven development, CI/CD, deploying Docker containers and operating on Kubernetes. In other words, practicing Devops methodology.
Must-haves:
3 years or more experience on Java platform
Familiar with agile software engineering practice
Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL
Increase your chances with:
Experience working on enterprise-scale projects, or, fully participated in projects from scratch
Scrum, TDD
Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security.
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",
1124,Kelly Services (S) Pte Ltd - IT,Junior Developer/Software Engineer,"•	Basic programming knowledge and experience (gained commercially or academically)
•	Good knowledge on C/C++/Java/.NET/SQL.
•	Candidates who are interested to build their career in programming can apply as the necessary training will be provided.
•	Good communication skills",
1132,XPAND GROUP,Fullstack Software Engineer,"Who is it for?
If you want to work in a start up environment where you are given flexibility and agile environment, working on new and exciting projects using modern technologies, learning from experienced and smart engineers – Plus, a global and stable technology consulting company with over decades in the business - You would not want to miss this opportunity!
What you will do?
You will be part of experienced teams in building innovative solutions.
You will closely work with clients to design, develop, test and release software to meet their needs.
You will be exposed to complex software challenges
What you need to have?
A degree holder in Computer Science or any relevant discipline
Proven expertise on Java, J2EE or .NET stack
Solid experience in Javascript ecosystem and used frameworks like ReactJS, Angular/Typescript
Working experience on development workflow tools like npm, webpack, Nodejs
Multiple years of experience with state of the art web architectures
Thorough knowledge of build and deployment of full stack applications, including automated testing frameworks like Selenium, Jasmine, etc.
You have an experience working in an agile development environment. Scrum Developer/Master is a definite advantage
You live your passion for software development
Excellent communication skills
Xpand your job search in the right direction by applying via the links provided. Alternatively, you can reach out to clarisa.ele@xpand.sg
CEI No: R1107413 | Licence No: 07C3147",
1163,XPAND GROUP,"Senior Software Engineer (Machine Learning, Big Data)","Who is it for?
World recognized technologists sit in the team where you can get heaps of knowledge about Data Science, Machine Learning, AI. A start up environment where you will be working with passionate people in delivery the best and complex product in the market.
What you will do?
Design and implement scalable, robust and distributed Machine Learning systems computing on large volumes of datasets in real time using a variety of open source and proprietary Big Data technologies.
Develop closed loop, automated, self-learning systems on a Hadoop stack, orchestrating and interfacing with internal and external components to deliver products to end users.
Implement and integrate system components for service orchestration, scheduling, job status monitoring, model performance monitoring, failure recovery, APIs, and any other components required for a robust and reliable Machine Learning system in a Hadoop environment.
What you need to have?
MS or BS Degree in Computer Science/Engineering or any equivalent
At least 10+ years of superior software development experience building commercial large-scale distributed software systems.
Expert knowledge in system design, reliability, performance tuning and testing of complex end-to-end Big Data applications processing large volumes of data in multiple environments.
Excellence in algorithms, data structure, discrete math and distributed computing.
Experience in working with data in excess of 10TB.
Production coding and testing experience in choice of programming languages and Big Data development frameworks.
Proficiency in Apache Spark and Scala a plus.
Proven professional experience in processing large-scale commercial data. Experience with telecommunication data a plus.
Self-directed, ability to work independently and research innovative solutions to technical and business problems.
Attention to details and data accuracy
Xpand your job search in the right direction by applying via the links provided. Alternatively, you can reach out to clarisa.ele@xpand.sg
CEI No: R1107413 | Licence No: 07C3147",
1208,Charterhouse Pte Ltd,Software Engineer Manager,"Responsibilities:
Provides technical supervision to and oversees the work of staff on a team. Guides and advises stakeholders on best practices for implementing or enhancing system. Work with management to design high-level system integrations involving in-house development or off-the-shelf products. Assess architectural impact of product enhancements on overall system and make recommendations to management.
•	The Software Engineering Manager will be responsible for leading the support and development team focused on back office software environment. This is a complex environment requiring interaction with multiple teams across the company: Traveler Services, Program Managers, Client-facing teams and technology teams.
•	Our goal is to standardize the Travcom environment across regions, and a significant part of the role will include process automation and improvement.
•	The role will also include development of automated services that allow for greater efficiencies across the support teams.
•	Represents project and deliverables of the team • Identifies resources needed for future projects • Performs fundamental managerial duties with the software team including hiring decision, performance feedback and workforce development • learn to Develop skillset as a mentor to a team. Begin to engage with more experienced leaders to navigate challenging technical and business situations.
•	Identifies and recommends project and activities as related to system direction and strategy. Establishes best practices and procedures/tools, programming standards, etc.deliverables.
•	Gathers and analyzes requirements; develops solutions/programs/reports, and implements technology.
Provides recommendations for strategic planning and system growth/future business needs. Manages team and enforces standard code repository and documentation.
Delivers system presentation and overview.
Collaborates with cross-team assets to create project timeline and assign tasks and • Troubleshoots problems involving complex difficult issues.
•	Meets with business analyst/stakeholder to determine requirements, gives input on prioritization to product owners.
•	Collaborates on development best practices and standards with development teams across the organization.
•	Acts as a subject matter expert on their product from both a technical and business perspective.
•	Provides Tier 2/3/4 Production Support for tools and applications developed.
Qualifications
Experience & education:
•	7+ years relevant experience required. Experience leading a technical project or initiative is helpful. Ability to navigate complex technical situations and to explain costs, benefits, tradeoffs, etc, of product decisions.
o	Knows the skillset of members on the team and coordinates work to achieve maximum output.
o	Preferred 2 years in the Travel Industry.
o	Minimum of 5 years SQL Development business experience with Agile Development methodologies.
o	Enforces high technical standards for their products.
o	Ability to discuss, lead and present technical solutions to development teams and Product and Technology management.
o	Able to work with teams/individuals of all levels of technical expertise, business knowledge and global locations.
o	Effective communication skills.
o	Ability to handle multiple projects
o	Expert knowledge of Software Development Life Cycle, Agile Methodology preferred.
EA License no.: 13C6338 I Reg no.: R1110355
Please send your resume in word format with your current and expected salary to yvonnet@charterhouse.com.sg",
1268,Shell Infotech Pte Ltd,Software Engineers (.Net),"Software Engineers (.Net)
Requirements:
Degree in Computer Science or equivalent.
At least 2+ years of experience in Software development.
Experience in .Net C#, WCF, Web Service, and Database Design & SQL Scripting with MS SQL.
Excellent communication and interpersonal skills.
Interested applicants please send your updated resume to
feroz@shellinfotech.com
Please mention you’re present and expected salary, and availability.",
1283,Volt Service Corporation Pte Ltd,Software Engineer - IoT (Internet of Things) - Perm/End-user,"Permanent opportunity with leading organization with nearly 8000 staffs in the region.
Chance to be in a well-developed software engineering team with latest updates on technologies.
Attractive compensation package with other permanent benefits.
In this role, you will be responsible for but not limited to:
Involve in full SDLC of
Internet of Things (IoT)
Products.
Build and design on
User Experience
for web applications.
Work with business units to define new ideas, define test cases and review of pull requests.
Participate in new technologies, innovation for new products and improvement of existing products.
Involved and support multiple projects (i.e: Open Source, etc.)
To be successful for the role, you will require to have:
4+ Years of hands-on Full-stack development experience.
Hands-on on modern web technologies:
HTML, CSS, Angular, JQuery, etc
.
Strong hands-on experience on working with
Java (Spring, Hibernate)
as backend.
Strong communication skills to work with the team effectively.
Please send your resume in WORD format by clicking the apply button below or contact Helen Nguyen on +65 6701 1519 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1660747 (Nguyen Ngoc Thanh Hien).",
1399,Global Search Partners Pte Ltd,Assistant Manager/Manager (Software Engineering- Apps),"Responsibilities:
You will work with a team of engineers to ship beautiful, responsive apps that does not compromise on speed & performance. You are able to navigate through the conflicting user requirements and convince on your design decisions over time using familiar methodologies. Most importantly, you’re able to transform an idea into a usable minimal viable product, speedily.
Requirements:
Degree in Computer Science, Computer Engineering or related field
Demonstrates knowledge of critical thinking and understanding of the entire mobile application development life cycle
Excellent debugging and problem-solving skills
Experience in web services (e.g. SOAP, REST, JSON, XML), and web technologies (e.g. HTML5, CSS3, JS, JQuery) including backend services (e.g. DBMS such as MySQL, NoSQL, SQLServer)
At least 1 server-side / MVC/MVVM framework (e.g. Python-Django, JavaScript- AngularJS/ReactJS/VueJS)
Preferably with GIS or web maps development experience. E.g. Used Leaflet, MapBox, ArcGIS SDK/ APIs to parse and visualise geoData
Familiar with both iOS and Android development tools, and popular mobile frameworks (e.g. Cordova, Xamarin)
Experience in testing tools (e.g. SoapUI, JMeter and Microsoft test manager)
Skills / knowledge of effective mobile UI and web UI design
Willingness to learn technologies / frameworks to find the best fit for the requirements
Knowledge in any of the following is a plus:
o	Conducting A/B testing
o	Using Development tools (e.g. Google DevTools, Task runners, Build tools, .Git, packing web apps)
o	Using WebGL APIs – 2D and 3D
o	Using hybrid app framework (e.g. Flutter, Ionic, React Native)
o	Doing test-driven development, Rapid Prototyping
o	Skill in graphical design is a plus
o	Knowledge of API management / API development as well as design patterns / architectures such as thin clients and microservices
o	Experience in Agile methodologies such as Scrum or Kanban
o	Experience in utilizing cloud services (e.g. AWS, Azure), mBaaS (mobile Backend-as-a-Service) and mobile analytics",
1401,Global Search Partners Pte Ltd,Software Engineering Manager,"Job Summary:
The Software Engineering Manager (SwEM) ensures Software Engineering activity management within constraints provided by the Systems Engineering Manager (SEM), Project Manager, the Architect and the Project Design Authority.
Defines the Sw development cycle in consistency with that of upper/same level elements (dependences, co-engineering activities).
Tailors the Sw Engineering Environment (process, practices and tools) according to Country/Company and project’s requirements.
Allocates responsibilities to individual contributors.
Participates in the specification of the functions and interfaces of products to be developed.
Participates in the definition of the architecture, and the allocation of functions
Responsibilities:
The Software Engineering Manager is also a team manager and responsible for leading his team to the completion of engineering tasks:
Within committed budgets, schedules, performance, and quality for project delivery, through well-executed Work Package Management.
Defines the Software Development strategy for the concerned appropriate level (solution or solution element), and records & maintains it in the Software Development Plan.
In the case where Agile development methods are implemented, be in-charge of the complete organisation of the Agile development process, including the choice of the roles, practices and tools necessary
Tailors the software development environment (process, practices and tools) according to Country/Company requirements and the chosen software development strategy
In the Orient Phase, the SwEM and his/her team:
	Ensure that he and his team understand the Context and Needs of the Software
	Develop the Software Architecture
	Build the Development Strategy
	Conduct the Solution Orientation Review (SOR) for the Software
In the Design Phase, the SwEM and his/her team:
	Formalise the Software Requirements
	Design the Software
	Conduct the Software Requirement Review (SwRR) and the Software Architecture and Design Review (SwADR)
In the Development Phase, the SwEM and his/her team:
	Consolidate the Software Definition
	Implement the software (Conduct the Software Component Readiness Review (SwCRR)
In the Integrate and Verify Phase, the SwEM and his/her team:
	Prepare Integration and Verification (Sw)
	Perform Integration (SW)
	Perform Verification (SW)
	Conduct the Software Iteration/ Increment Release Review (SwIRR)(Support the solution IVVQ activities (Sw)
Ensures that all Configuration and Change Management (CM) processes are properly followed by the Software Development team.
Finally, The SwEM is also the Workpackage Manager (WPM) for the Software of the project:
Manages and coordinates internal teams performing a work package.
Liaises with the Project Manager and his/her Head of Discipline for all aspects relating to his/her work package.
Conducts all work package activities (including those relating to risks and opportunities) to reach completion of the project regarding its technical, industrial, and financial objectives
Performs this role from authorisation to start until closure of the work package for all aspects of the work package
Ensure that the supplier project is monitored and controlled in terms of schedule and milestone adherence, risk management, quality of deliveries, etc., to ensure delivery to meet the sub-contract requirements.
Qualifications:
Bachelor level qualifications in a relevant area of science or engineering.
Higher degree qualifications are desirable.
PMP/PMI or equivalent qualifications are desirable
Demonstrated engineering competencies required for qualification to INCOSE CSEP (or equivalent) are highly desirable
Requirements:
Minimum of 5 years’ experience of technical software management within a relevant domain.
Minimum of 5 years’ experience of management of an software development team
Minimum of 10 years’ experience of software development within a relevant domain.
Minimum 3 years of experience of development in an Agile Environment
Experience in setting up and running a successful Agile team on a medium+ and duration project
Software Development Management Experience on Medium to Large Software Projects
Membership of relevant professional organisation, e.g. INCOSE, Institution of Engineers Singapore, etc.
Experience in the following software development areas:
	Software development (Java is a must, C# and C++ appreciated)
	System integration (ZeroMQ, JSON, KAFKA, distributed file systems, Logstash), Sensor integration (Iot)
	Operative systems (Linux & Window)
	SQL and non SQL Databases (MySQL, Elastic Search, Mongo DB)
	Network configuration and architecture (TCP/IP)
	Virtualization platforms (Virtual Machines, Docker, etc.)
	Complex Event Processing (CEP), and Time series database (TSDB)
	Web application / server and client side AngularJS, JQuery.
Desirable Experience:
Experience in the software development management of Security Systems
Experience of various roles in Agile Development (Scrum master, Product Ower, Developper, etc.)
Experience in Lean Engineering",
1549,Success Resource Centre Pte Ltd,Permanent Senior Software Engineer (Embedded) - Up to 5500,"Job Description
Senior Software Engineer (Embedded)
Permanent / Contract
Salary: Up to $5500
Ang Mo Kio / Redhill
Normal Office Hours
Job Responsibilities (Software Engineer):
Design, develop and test embedded software (more on application layer)
Participate in design and code reviews
Support iDirect's Technical Assistance Center and external customers when needed
Job Responsibilities (Software / R&D Engineer):
Develop Linux kernel and device driver
Create Linux shell scripts for interfacing between application and OS
Assure the quality of work through design, review and testing
Responsible for the delivery of the software/kernel/driver to manufacturing within the required timelines
Works together with hardware/firmware engineers for new product development/ existing product debugging.
Period:
Permanent / Contract
Contract can be renewed / convert to perm depending on performance & headcount availability
Salary:
Up to $5500
Location:
Ang Mo Kio / Redhill
Working Hours:
Monday-Friday: 8.30am to 6pm
Job Requirements (Software Engineer):
MS/BS in Computer Science/Computer Engineering/Electrical Engineering
Strong C/C++ programming experience in a POSIX environment
Experience programming software on an embedded linux platform
Working knowledge of GNU development and debugging tools
Knowledge of linux kernel and linux device drivers
Knowledge of TCP/IP, Sockets Programming
Some experience with Shell scripting is desirable
An understanding of FPGA development is a plus
Knowledge of Satellite communication is a plus
Experience with other Realtime embedded environments is a plus
Knowledge of Agile Scrum is a plus
Job Requirements (Software / R&D Engineer):
- Degree in Electrical and Electronic Engineering, Computer Science/Engineering or its equivalent
- Experience in C/C++ programming
- Experience in developing embedded software for ARM microprocessors
- Experience in Linux programming with good knowledge in Linux kernel/ driver development
- Experience in Linux shell scripting
- Experience/knowledge in Windows Operating System Configuration and OPOS driver is a plus.
- Experience in Debian OS related programming.
- Experience in firmware development is a plus.
- Independent, good team player and self-disciplined
Interested applicants, kindly email your detailed resume (MS Word format is preferred):
(Reg No: R1107386)
Zoey -(Reg No: R1550273)
Please ensure that applications sent through email are no bigger than 1Mb.
We thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.
Success Human Resource Centre Pte Ltd (EA License Number: 97C4832)
1 Sophia Road, Peace Centre,
#06-23/29 Singapore 228149
T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg",
1637,Volt Service Corporation Pte Ltd,Embedded Software Engineer - Perm/End-user,"Embedded Software Engineer - Wireless/Wi-Fi/Communication System
Permanent opportunity with a leading organization with more than 4000 employees worldwide.
Chance to be in a well-developed team and involve in exciting new projects.
Attractive compensation package with 13th month and variable bonuses.
In this role, you will be responsible for but not limited to:
Develop
embedded software
for
Wireless Communications system
.
Responsible on packet switching, multiplexing and bandwidth allocation.
Analyse features, architecture and performance of SoC, recommend for future wireless communication system
Support/resolve and debug problems for the system.
Liaise with team members and different teams to deliver on requirements.
Key Requirements for the role:
4+ years of experience in hands-on software embedded system development.
Proficient in developing using
embedded C
,
C++
or
C#
.
Strong knowledge in Network system architecture across
wireless/Wi-fi
, TCP/IP, etc.
Experience with
Real-time Operating System (RTOS)
will be added advantage.
Strong communicator with proactive personality.
Please send your resume in WORD format by clicking the apply button below or contact Helen Nguyen on +65 6701 1519 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1660747 (Nguyen Ngoc Thanh Hien).",
1720,Beyondsoft Singapore,Senior / Software Engineer-Java (NEW Headcount for 2019),"Role Responsibilities:
•	You will be part of a development team that designs and develops the financial application.
•	Develop and maintain the system and work with internal stakeholders with any issues arise.
•	As part of the development team, you will be involved in all aspects of product development cycle, from requirement analysis, writing specifications, code development, verification, and iterations for improvement.
Education and Experience
•	Bachelor or Master Degree in Computer Engineering/Science, Electronics Engineering or related disciplines. Embedded System specialization will be an added advantage.
•	Minimum of 4 years of relevant experience in Java development.
•	Familiar with Spring, Spring MVC, Mybatis, MySQL.
•	Good to have knowledge in widely used middleware, like Kafka, Redis, RabbitMq, etc.
•	Good understanding of JVM, multithread, etc.
•	Excellent written and verbal communication skills; mastery in English and local language.
•	Ability to effectively communicate product architectures, design proposals and negotiate options at management levels.",
1727,K2 Partnering Solutions Pte Ltd,Liferay Software Engineer,"Responsibilities:
Collaborate with cross-functional teams to define, design, and ship new features
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Ensure the performance, quality, and responsiveness of applications
Identify and correct bottlenecks
Help maintain code quality, organisation, and automatization
Develop applications for time-sensitive projects while considering business/system requirements
Requirements:
Education in Computer Science, Information Systems or a related subject
3+ years of experience working on enterprise level java application
3+ years of experience with Spring framework.
Exposure to Liferay 7
Strong grasp of Javascript, CSS, and UI/UX standards
Experience with MySQL and AWS
Understanding of web design principles and interface guidelines
Good To Have:
Github repository containing previous work
Dev Ops experience
Experience with setting up and using Elasticsearch",
1760,,Software engineer (Micro focus / Serena),"As a Micro Focus Serena release and deployment automation Engineer, your role includes:
To be the subject matter expert in recommending best practices in term of automation and implementation
To onboard new applications in Serena
To review existing applications already on boarded on Serena
To propose improvements to current processes
To maintain and administer Serena Release and Deployment Automation platform
Skills & Experience:
Bachelor’s Degree or equivalent experience required
5+ years of overall experience in professional software engineering;
At least 3+ years of hands-on experience as Serena engineer
Mandatory
Strong expertise on SERENA & integration with Vault & CI tools
Strong critical thinker with problem solving aptitude
Good written and oral communication skills
Good background in Linux / Unix Administration
Plus
Experience with automation/configuration management using Ansible
Expertise with containerization technologies such Docker
Banking experience related to organization and processes",
1784,K2 Partnering Solutions Pte Ltd,Software Engineer,"Responsibilities:
Develop on existing systems and cloud-based-software
Provide assistance in project implementation and infrastructure setup at client locations
Maintain and support the existing applications
Draft design documentation and prepare APIs
Requirements:
Strong proficiency with Node.js and Git
Good understanding of UNIX or Server Administration
Knowledge of at least 1 scripting language (Python/Ruby/PHP, etc.)
Prior work experience with HTML, CSS, Angular JS 4
Working knowledge of AWS
Basic NoSQL (CouchDB)",
1844,PrimeStaff Management Services Pte Ltd,Software Engineer (C# .NET) -  Salary up to 6.5K,"The broad area of your role covers the followings:
Liaising extensively with external or internal clients;
analysing clients' existing systems;
Translating client requirements into highly specified project briefs;
Identifying options for potential solutions and assessing them for both technical and business suitability;
Drawing up specific proposals for modified or replacement systems;
Hands-on individual and be able to work with local and off-shore teams to deliver projects on the technical aspects
The role requires you to be hands-on and you will be involved in providing user support requires investigating and troubleshooting issues, as well as providing timely improvements/ resolutions to address problems / incidents encountered.
Ideal candidate should possess the following:
Diploma/ Degree in Computer-related discipline
Minimum 6 years of relevant IT experience and technically competent in one or more of the following languages, tools and technologies:
Dot Net
Oracle PL/SQL
Testing
Ruby on Rails
Agile/ Scrum Master
Sharepoint
ERP (SAP)
Dynamics
RPA / AI
Ability to put long hours, when required to ensure timely delivery and project success
Strong Analytical skills and well verse with problem resolution methodologies
Strong customer-service orientation
Possess can-do attitude, initiative, creativity and able to work under stringent time
Position will be on contractual basis of 1-year with possibility of renewal
EAP No. R1548171
EA Licence No. 95C5411",
1955,Charterhouse Pte Ltd,"Software engineer (.net, C#)","Main activities / tasks:
• Design, Develop, Enhance, Test and Integrate Windows Applications (C# / .NET)
• Develop and Integrate front-end UI to match project/client specifications
• Integrate server-side solutions (eg. Moodle, Liferay, webservices)
• Bug fix Web Applications & Windows applications
• Maintain a high standard of coding quality, design & documentation
• Provide technical assistance and timely update to project team
• Ensure on-time and quality delivery of tasks
Special requirements (tools and equipment used, external contacts, etc): N.A.
Job Requirements
Knowledge and skills
• Knowledge in working with [.Net ] frameworks
• Excellent Object Oriented programming skills in [C# / Java / Objective-C / PHP]
• Excellent Database programming skills [MS SQL / MySQL]
• Good optimisation, debugging skills
• Knowledge in bug tracking & management
• Knowledge in SVN for software version control
• Proficient in [XML/JSON] is an added advantage
• Knowledge in [Android Development / iOS Development] is an added advantage
• Diploma or Degree in Computer Science / Engineering or equivalent
Experience
• 1 or 2 years of working experience in C#/PHP software development/engineering
• Experience in design, mobile web and web technology is an added advantage
Please send your resume in word format with your current and expected salary to yvonnet@charterhouse.com.sg
EA License no.: 13C6338 I Reg no.: R1110355",
1961,Globesoft Services Pte Ltd,Software Engineer (C++/ Stepper and Servo motor),"Senior Software Engineer
Primary Functions:
Software development for molding machines
Maintain and provide software documentation and provide support for production and field
Carry out good software engineering practice of requirement analysis, design, implement, test and release with good documentation
Develop and design new features and sustain matured products in the field
Implement Continuous Improvement Program (CIP) for existing and new products
Maintain and perform software field support at the customers' sites
Candidates will be sent to the Netherlands for training
Requirements:
Bachelor Degree in Electrical & Electronics/Computer Engineering or equivalent
Minimum 5 years’ experience in C/C++/Java programming
Practical knowledge on real-time software development
Good conceptualization skills are needed when work on interdisciplinary automation projects
Familiar with various motor technologies such as servo motor, stepper motor, solenoid, etc.
Fluent in written and spoken English
Candidates with the skills and experience listed above are highly encouraged to send in their resumes by clicking on the 'APPLY' button or by writing in to godfrey.foo (at) globesoft.com.sg today for a confidential discussion!
EA Reg No.: R1107214 | Globesoft Services Pte Ltd | EA License No. 12C6296",
2070,Gimper SZ Technology Pte Ltd,Contract Embedded Software Engineer in Singapore,"Job Description
•	Be part of a multinational team of engineers responsible for developing software for automotive full digital instrument clusters
•	You will be responsible for the development of SW components and/or SW (Sub-) systems according to the defined SW development life cycle process.
Job Requirement
•	Degree/Masters in Computer Science/Engineering, or a related discipline, preferably with specialization or related experience in development of in-vehicle network communication protocols
•	Analysis and design experience for embedded SW components
•	Advanced programming skills in ANSI/Embedded C/C++
•	Good knowledge on in-vehicle communication protocol CAN/Ethernet",
2084,Global Search Partners Pte Ltd,Software Engineer (Java / J2EE) - 1 year contract (3000 to 6000 per month),"Development Role
- Participate in requirement gathering sessions and translate business requirements into functional and non functional requirements.
- Clarify ambiguous/conflicting requirements and ensure that that changes are documented and tracked.
- Perform screen mockup and prototype to confirm requirements; analyze and translate requirements into design using established design standards and tools.
- Produce design specifications and artifacts.
- Code programs based on best practices and programming guidelines adopted by project.
- Develop and perform automated unit testing; prepare test data, capture test result to ensure the quality of the program.
- Analyze and identify root cause and ensure fixes are done and tested before rolling out for retest.
- Develop training material and support user training; prepare documentation including system and user documentation; keep versioning of documentation.
- Participate in peer reviews and daily huddle.
Support Role
- Package and deploy codes into production based on deployment practices defined.
- Monitor system to identify exceptions to normal processing and take corrective or preventive actions.
- Troubleshoot incidents and provide timely update and escalation when appropriate.
- Register and track all reported issues to closure and within SLA.
- Analyze and classify change requests and perform impact analysis.
- Provide timely handling of user queries and request.
- Actively identify areas to improve to ensure system stability and maintainability.
- Understand SLA, escalation process and critical monitoring activities required to keep the system in order.
- Supervision required: Works under general supervision and follows established procedures
Technical Skills Required
Technical qualifications and capabilities include knowledge of one of the following: Language: Java / J2EE",
2097,Volt Service Corporation Pte Ltd,Senior Java Software Engineer,"Senior Software Engineer (Java) – 2-year contract - Singapore
Be part of a major transformation project.
This transformation is to expand organization’s technology into Java. The ideal fit will have experience as a Full-Stack Developer. Experience in building Java microservices and frontend using Angular, JavaScript, JQuery, HTML and CSS.
It will be advantageous if you have knowledge or experience in test-driven development, CI/CD, deploying Docker containers and operating on Kubernetes. In other words, practicing Devops methodology.
Must-haves:
3 years or more experience on Java platform
Familiar with agile software engineering practice
Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL
Increase your chances with:
Experience working on enterprise-scale projects, or, fully participated in projects from scratch
Scrum, TDD
Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security.
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",
2137,Cobalt Consulting Asia Pte Ltd,Software Engineer (System),"Cobalt is proud to partner with one of the world largest manufacturers and providers of semiconductor packaging, assembly equipment, and electronic assembly solutions. Due to business expanding in Singapore, they are looking to bring on board qualified Software Engineer (System).
In this role,
You will develop software enhancement features and manage software defect tracking, resolution and deployment to the field
Software sustaining support and continuous improvement of the current
platform
To be successful in this role,
You will possess a Bachelor's Degree in Technical Engineering with at least 3 years of experience as Software
Engineer
Good knowledge in Object Oriented Programming & Real-Time Operating System and must have experience in multi-threading
Proficient in C++, Visual C++ with Microsoft Foundation Class, Windows, VxWorks
If an opportunity is of interest, then please share your CV with us at yfan@cobaltrecruitment.com or call us at +65 6800 9275 for a confidential discussion on this role.
EA License No: 12C6031 | Reg No: R1547510",
